,Name,Country,Runs,Mins,BF,4s,6s,SR,POS,Dismissal,Inns,Opposition,Ground,Date
229,Mahela Jayawardena,Sri Lanka,64,264,191,4,0,33.50,5,caught,3,v England,Colombo (PSS),3 Apr 2012
230,Mahela Jayawardena,Sri Lanka,62,175,132,9,0,46.96,4,bowled,1,v Pakistan,Galle,22 Jun 2012
231,Mahela Jayawardena,Sri Lanka,14,46,31,1,0,45.16,4,caught,3,v Pakistan,Galle,22 Jun 2012
232,Mahela Jayawardena,Sri Lanka,0,17,8,0,0,0.00,4,lbw,2,v Pakistan,Colombo (SSC),30 Jun 2012
233,Mahela Jayawardena,Sri Lanka,1*,8,5,0,0,20.00,4,not out,4,v Pakistan,Colombo (SSC),30 Jun 2012
234,Mahela Jayawardena,Sri Lanka,12,30,24,1,0,50.00,4,lbw,2,v Pakistan,Pallekele,8 Jul 2012
235,Mahela Jayawardena,Sri Lanka,11,40,44,1,0,25.00,4,caught,4,v Pakistan,Pallekele,8 Jul 2012
236,Mahela Jayawardena,Sri Lanka,91,294,176,11,1,51.70,5,caught,2,v New Zealand,Galle,17 Nov 2012
237,Mahela Jayawardena,Sri Lanka,DNB,-,-,-,-,-,-,-,4,v New Zealand,Galle,17 Nov 2012
238,Mahela Jayawardena,Sri Lanka,4,11,5,1,0,80.00,4,caught,2,v New Zealand,Colombo (PSS),25 Nov 2012
239,Mahela Jayawardena,Sri Lanka,5,35,24,1,0,20.83,4,caught,4,v New Zealand,Colombo (PSS),25 Nov 2012
240,Mahela Jayawardena,Sri Lanka,12,36,22,2,0,54.54,4,lbw,2,v Australia,Hobart,14 Dec 2012
241,Mahela Jayawardena,Sri Lanka,19,137,77,1,0,24.67,4,caught,4,v Australia,Hobart,14 Dec 2012
242,Mahela Jayawardena,Sri Lanka,3,32,26,0,0,11.53,4,caught,1,v Australia,Melbourne,26 Dec 2012
243,Mahela Jayawardena,Sri Lanka,0,8,6,0,0,0.00,4,bowled,3,v Australia,Melbourne,26 Dec 2012
244,Mahela Jayawardena,Sri Lanka,72,154,110,12,1,65.45,3,caught,1,v Australia,Sydney,3 Jan 2013
245,Mahela Jayawardena,Sri Lanka,60,200,128,9,0,46.87,3,caught,3,v Australia,Sydney,3 Jan 2013
246,Mahela Jayawardena,Sri Lanka,5,13,8,1,0,62.50,4,caught,1,v Pakistan,Abu Dhabi,31 Dec 2013
247,Mahela Jayawardena,Sri Lanka,0,4,1,0,0,0.00,4,caught,3,v Pakistan,Abu Dhabi,31 Dec 2013
248,Mahela Jayawardena,Sri Lanka,129,413,278,15,0,46.40,5,bowled,2,v Pakistan,Dubai (DSC),8 Jan 2014
249,Mahela Jayawardena,Sri Lanka,DNB,-,-,-,-,-,-,-,4,v Pakistan,Dubai (DSC),8 Jan 2014
250,Mahela Jayawardena,Sri Lanka,47,136,108,5,2,43.51,4,caught,1,v Pakistan,Sharjah,16 Jan 2014
251,Mahela Jayawardena,Sri Lanka,46,211,144,4,1,31.94,4,caught,3,v Pakistan,Sharjah,16 Jan 2014
252,Mahela Jayawardena,Sri Lanka,203*,416,272,16,4,74.63,4,not out,2,v Bangladesh,Dhaka,27 Jan 2014
253,Mahela Jayawardena,Sri Lanka,72,187,147,6,0,48.97,4,lbw,1,v Bangladesh,Chattogram,4 Feb 2014
254,Mahela Jayawardena,Sri Lanka,11,39,29,1,0,37.93,4,lbw,3,v Bangladesh,Chattogram,4 Feb 2014
255,Mahela Jayawardena,Sri Lanka,55,153,105,7,0,52.38,4,lbw,2,v England,Lord's,12 Jun 2014
256,Mahela Jayawardena,Sri Lanka,18,66,45,3,0,40.00,4,caught,4,v England,Lord's,12 Jun 2014
257,Mahela Jayawardena,Sri Lanka,22,68,47,3,0,46.80,4,caught,1,v England,Leeds,20 Jun 2014
258,Mahela Jayawardena,Sri Lanka,79,218,168,8,0,47.02,4,caught,3,v England,Leeds,20 Jun 2014
259,Mahela Jayawardena,Sri Lanka,3,17,9,0,0,33.33,4,lbw,2,v South Africa,Galle,16 Jul 2014
260,Mahela Jayawardena,Sri Lanka,10,47,31,2,0,32.25,4,caught,4,v South Africa,Galle,16 Jul 2014
261,Mahela Jayawardena,Sri Lanka,165,456,284,17,1,58.09,4,run out,1,v South Africa,Colombo (SSC),24 Jul 2014
262,Mahela Jayawardena,Sri Lanka,0,10,6,0,0,0.00,4,caught,3,v South Africa,Colombo (SSC),24 Jul 2014
263,Mahela Jayawardena,Sri Lanka,59,149,112,7,0,52.67,4,lbw,2,v Pakistan,Galle,6 Aug 2014
264,Mahela Jayawardena,Sri Lanka,26,56,35,3,0,74.28,2,bowled,4,v Pakistan,Galle,6 Aug 2014
265,Mahela Jayawardena,Sri Lanka,4,33,16,0,0,25.00,4,lbw,1,v Pakistan,Colombo (SSC),14 Aug 2014
266,Mahela Jayawardena,Sri Lanka,54,192,137,8,0,39.41,4,caught,3,v Pakistan,Colombo (SSC),14 Aug 2014
